Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1861,0.9583,0.5264,0.5056,0.9208,0.8986,0.8944,0.8861,0.8806
Random Forest,0.0,1.0,0.4694,0.5222,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.3472,0.3222,1.0,1.0,1.0,1.0,1.0
C5.0,0.05,0.9514,0.3819,0.3778,0.9333,0.9556,0.9333,0.9306,0.9333
C5.0-Boosting,0.0,1.0,0.4792,0.4278,1.0,1.0,1.0,1.0,1.0
CTree,0.4778,0.5514,0.3556,0.4222,0.4069,0.4083,0.3833,0.4167,0.2833
RPart,0.5278,0.5972,0.3611,0.3722,0.6139,0.6,0.6111,0.5917,0.4861
kNN,0.2806,0.3958,0.3639,0.4,0.3653,0.3542,0.325,0.3278,0.3083
3NN+DTW,0.1889,0.9125,0.6833,0.7056,0.8792,0.8736,0.8597,0.8653,0.8361
LSTM,0.0972,0.6306,0.2625,0.2444,0.6431,0.7139,0.7264,0.6319,0.6597
C4.5,0.0389,0.9542,0.375,0.3611,0.9417,0.9486,0.9278,0.9375,0.9375
