Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3028,1.0,0.8902,0.8556,0.9375,0.9069,0.9097,0.8778,0.8764
Random Forest,0.0,1.0,0.7817,0.7556,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5539,0.6278,1.0,1.0,1.0,1.0,1.0
C5.0,0.0944,0.975,0.6042,0.6333,0.9556,0.9389,0.9444,0.9361,0.9333
C5.0-Boosting,0.0,1.0,0.75,0.7444,1.0,1.0,1.0,1.0,1.0
CTree,0.9139,0.7458,0.5556,0.5611,0.7069,0.5889,0.6153,0.5542,0.4958
RPart,0.4472,0.775,0.5806,0.6389,0.7222,0.6875,0.6611,0.6278,0.6403
kNN,0.1778,0.3889,0.3847,0.3833,0.3778,0.3458,0.3389,0.3514,0.3306
3NN+DTW,0.2278,0.9514,0.8639,0.8333,0.8958,0.8625,0.8653,0.8542,0.8431
LSTM,0.45,0.7986,0.4958,0.5,0.6958,0.6153,0.7542,0.7458,0.7431
C4.5,0.0806,0.9708,0.6375,0.55,0.9625,0.9583,0.9611,0.9542,0.9444
