Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0,1.0,0.55,0.475,1.0,1.0,1.0,1.0,1.0
Random Forest,0.0,1.0,0.5125,0.575,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5125,0.375,1.0,1.0,1.0,1.0,1.0
C5.0,0.1,0.9938,0.5562,0.65,0.9688,0.975,0.9875,0.9875,0.9875
C5.0-Boosting,0.0,1.0,0.4938,0.525,1.0,1.0,1.0,1.0,1.0
CTree,0.2375,0.5,0.425,0.5,0.5,0.6188,0.5,0.5,0.5
RPart,0.0875,0.8562,0.525,0.4,0.85,0.8875,0.9,0.8688,0.8812
kNN,0.175,0.6625,0.5188,0.5,0.6375,0.6812,0.6938,0.6312,0.6188
3NN+DTW,0.3125,0.9375,0.8188,0.8,0.8688,0.8375,0.7938,0.8812,0.7688
LSTM,0.4,0.9375,0.9125,0.55,0.8438,0.8312,0.8812,0.9562,0.6812
C4.5,0.0125,0.9875,0.5125,0.575,0.9812,0.9875,0.9875,0.9812,0.9875
