Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.0104,0.8292,0.6997,0.7125,0.7344,0.7344,0.6667,0.6188,0.5396
Random Forest,0.0042,1.0,0.7494,0.7792,0.9990000000000001,1.0,1.0,1.0,0.9979
CART,0.8583,0.9094,0.5025,0.5083,0.8667,0.8698,0.8531,0.7177,0.7281
C5.0,0.3542,0.9208,0.5531,0.5792,0.8688,0.8729,0.8271,0.8271,0.8031
C5.0-Boosting,0.0146,1.0,0.6688,0.7125,0.9979,1.0,0.9979,0.9990000000000001,0.9948
CTree,0.6063,0.451,0.3083,0.3458,0.3156,0.3365,0.2885,0.2667,0.19899999999999998
RPart,0.8979,0.4927,0.3365,0.3667,0.3573,0.2854,0.2938,0.2323,0.1594
kNN,0.5125,0.5208,0.451,0.5083,0.4646,0.45,0.4312,0.4,0.3615
3NN+DTW,0.15,0.9281,0.7521,0.7958,0.8677,0.8708,0.851,0.8542,0.8385
LSTM,0.3021,0.9792,0.775,0.8042,0.9542,0.9448,0.9229,0.9083,0.8969
C4.5,0.2333,0.9083,0.5094,0.4917,0.8604,0.851,0.8417,0.8323,0.8115
