Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0867,0.955,0.4483,0.52,0.9617,0.9517,0.9483,0.9417,0.945
Random Forest,0.0,1.0,0.675,0.6333,1.0,1.0,1.0,1.0,1.0
CART,0.04,1.0,0.615,0.6,0.9933,0.99,0.9583,0.9567,1.0
C5.0,0.2267,0.9383,0.6217,0.62,0.9133,0.8333,0.8467,0.8567,0.845
C5.0-Boosting,0.0533,0.9983,0.6767,0.64,0.9983,1.0,1.0,0.97,1.0
CTree,1.2367,0.63,0.5933,0.5467,0.6367,0.5167,0.485,0.4817,0.345
RPart,0.3933,0.7467,0.6117,0.6,0.7283,0.6883,0.7117,0.6283,0.66
kNN,0.1033,0.3717,0.3383,0.32,0.4083,0.365,0.38,0.3933,0.42
3NN+DTW,0.0967,0.6933,0.475,0.5,0.72,0.7283,0.7317,0.7433,0.7367
LSTM,1.0933,0.6183,0.62,0.5267,0.635,0.7417,0.7967,0.9017,0.8283
C4.5,0.2633,0.92,0.6383,0.62,0.9217,0.8483,0.905,0.8367,0.8617
