Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6333,0.9625,0.8833,0.95,0.8917,0.8625,0.8333,0.7875,0.7708
Random Forest,0.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.85,0.8833,1.0,1.0,1.0,1.0,1.0
C5.0,0.2667,0.9917,0.8583,0.8833,0.9292,0.9542,0.9083,0.9375,0.8708
C5.0-Boosting,0.0,1.0,0.9292,0.9667,1.0,1.0,1.0,1.0,1.0
CTree,1.525,0.8667,0.8208,0.8333,0.7708,0.7917,0.7083,0.4875,0.5417
RPart,0.3917,0.9333,0.7958,0.9,0.8208,0.8125,0.7917,0.7667,0.7458
kNN,0.75,0.9208,0.8875,0.9167,0.825,0.7625,0.7167,0.7125,0.6625
3NN+DTW,0.4417,0.9625,0.9125,0.9,0.8917,0.8375,0.8208,0.8417,0.7792
LSTM,0.275,0.9958,0.9542,1.0,0.9917,0.975,0.9708,0.9542,0.9333
C4.5,0.1667,0.9875,0.8583,0.9333,0.9417,0.925,0.8792,0.875,0.925
