Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9388,0.9962,0.9783,1.0,0.8954,0.8533,0.7883,0.7666,0.7041
Random Forest,0.0,1.0,0.963,0.9898,1.0,1.0,1.0,1.0,1.0
CART,0.0255,1.0,0.8902,0.9286,0.9936,1.0,1.0,1.0,1.0
C5.0,0.8009999999999999,0.9885,0.9132,0.9133,0.9541,0.9171,0.9286,0.8329,0.7959
C5.0-Boosting,0.6939,1.0,0.9554,0.9541,1.0,1.0,1.0,0.898,0.8776
CTree,1.0434,0.9401,0.9031,0.9082,0.8469,0.7997,0.7462,0.7041,0.6339
RPart,0.5689,0.9464,0.8878,0.9337,0.875,0.8482,0.8265,0.7755,0.7691
kNN,0.852,0.8992,0.8865,0.9490000000000001,0.8291,0.8048,0.7411,0.7079,0.6645
3NN+DTW,0.5689,0.9758,0.9490000000000001,0.9898,0.8801,0.8648,0.8036,0.8048,0.7679
LSTM,0.0765,0.9962,0.9821,0.9949,0.9196,0.6888,0.9528,0.7423,0.912
C4.5,0.5153,0.9949,0.8967,0.9439,0.9235,0.9158,0.8916,0.9388,0.7832
