Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9289,0.8689,0.8056,0.8267,0.7822,0.7422,0.6767,0.6244,0.6089
Random Forest,0.0,1.0,0.8889,0.8978,0.9989,0.9989,0.9989,0.9989,0.9989
CART,0.0,1.0,0.6322,0.68,0.9989,0.9989,0.9989,0.9989,0.9989
C5.0,0.26,0.9578,0.6844,0.6933,0.9111,0.8889,0.8767,0.8611,0.86
C5.0-Boosting,0.0133,1.0,0.8344,0.8178,0.9956,0.9967,0.9978,0.9967,0.9989
CTree,0.92,0.7711,0.6167,0.6489,0.6456,0.6467,0.5656,0.5333,0.4722
RPart,0.82,0.7067,0.6133,0.6089,0.6389,0.59,0.59,0.5289,0.4644
kNN,0.5933,0.6611,0.6167,0.6,0.5978,0.5667,0.5333,0.5011,0.4822
3NN+DTW,0.1733,0.9222,0.8144,0.8044,0.8767,0.8567,0.8467,0.8322,0.8456
LSTM,1.3667,0.9933,0.77,0.9333,0.8833,0.6889,0.5533,0.4367,0.6678
C4.5,0.2956,0.9567,0.6444,0.6933,0.9122,0.8878,0.8767,0.86,0.8522
