Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9118,0.94,0.9253,0.9363,0.8505,0.8015,0.7475,0.7034,0.6716
Random Forest,0.0049,1.0,0.9632,0.9706,0.9963,0.9963,0.9975,0.9988,0.9963
CART,0.0049,1.0,0.9129999999999999,0.8873,0.9963,0.9963,0.9975,0.9988,0.9963
C5.0,0.076,0.9914,0.9228,0.9265,0.9228,0.9167,0.9191,0.9228,0.9007
C5.0-Boosting,0.1275,1.0,0.951,0.9461,0.9718,0.9841,0.9963,0.9988,0.9963
CTree,0.8627,0.9375,0.9129999999999999,0.9216,0.8370000000000001,0.7892,0.7402,0.6887,0.6716
RPart,0.9044,0.951,0.9154,0.9069,0.8591,0.8113,0.7586,0.7169,0.6801
kNN,0.9167,0.9363,0.9387,0.9265,0.8468,0.8027,0.7525,0.7096,0.6642
3NN+DTW,0.3064,0.9828,0.9681,0.9706,0.8983,0.8725,0.8542,0.8542,0.8309
LSTM,0.7132,0.9951,0.9816,0.9706,0.9032,0.8554,0.8529,0.8076,0.7488
C4.5,0.1152,0.9939,0.9253,0.9069,0.9461,0.902,0.9093,0.9105,0.9129999999999999
