Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.8792,1.0,0.9771,0.975,0.9042,0.8562,0.8208,0.7667,0.7292
Random Forest,0.0,1.0,0.9667,0.975,1.0,1.0,1.0,1.0,1.0
CART,0.0042,1.0,0.8,0.7833,1.0,0.9979,1.0,1.0,1.0
C5.0,0.2125,0.9771,0.7896,0.825,0.9417,0.9333,0.9271,0.8938,0.9083
C5.0-Boosting,0.0,1.0,0.9042,0.9083,1.0,1.0,1.0,1.0,1.0
CTree,1.0833,0.8667,0.7083,0.7417,0.7625,0.7333,0.6688,0.6208,0.5479
RPart,0.8042,0.8896,0.7562,0.7667,0.8292,0.7792,0.7458,0.6979,0.6688
kNN,0.8417,0.8646,0.8333,0.825,0.7771,0.7417,0.7104,0.6333,0.6208
3NN+DTW,0.2958,0.9854,0.975,0.9667,0.9083,0.8708,0.8667,0.8521,0.8438
LSTM,1.775,1.0,0.9792,0.9917,0.4479,0.9542,0.8708,0.8542,0.9417
C4.5,0.1042,0.9812,0.8104,0.8083,0.9396,0.925,0.9229,0.9438,0.9042
