Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.215,0.9112,0.6881,0.6852,0.9112,0.8972,0.8925,0.8458,0.8832
Random Forest,0.0374,1.0,0.7857,0.8333,0.9907,0.9813,0.986,0.9813,0.9813
CART,0.0374,1.0,0.6539,0.6852,0.9907,0.9813,0.986,0.9813,0.9813
C5.0,0.0561,0.9766,0.6493,0.7222,0.9813,0.9626,0.9766,0.9626,0.9673
C5.0-Boosting,0.0561,1.0,0.7197,0.7963,0.9907,0.9813,0.986,0.972,0.9813
CTree,0.0374,0.5234,0.4909,0.5185,0.5187,0.514,0.514,0.514,0.5093
RPart,0.0935,0.8832,0.6782,0.6852,0.8411,0.8411,0.8364,0.8505,0.8598
kNN,0.4019,0.7196,0.6546,0.5556,0.6916,0.6963,0.6262,0.6355,0.6215
3NN+DTW,0.3178,0.9346,0.8178,0.7778,0.8832,0.8458,0.7897,0.8271,0.8131
LSTM,1.5981,0.9953,0.8638,0.9815,0.9393,0.5561,0.486,0.486,0.5748
C4.5,0.8037,0.9813,0.6538,0.7037,0.972,0.9626,0.972,0.972,0.7664
