Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5,0.7188,0.6375,0.65,0.6188,0.6438,0.5812,0.5688,0.5312
Random Forest,0.0,1.0,0.8812,1.0,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8125,0.875,1.0,1.0,1.0,1.0,1.0
C5.0,0.2125,0.9875,0.8625,0.95,0.9625,0.9188,0.9062,0.9125,0.9125
C5.0-Boosting,0.0,1.0,0.85,0.975,1.0,1.0,1.0,1.0,1.0
CTree,0.675,0.7438,0.6875,0.7,0.675,0.6625,0.6062,0.6,0.5375
RPart,0.4625,0.925,0.7438,0.875,0.8312,0.825,0.7812,0.7688,0.7438
kNN,0.2,0.6375,0.4438,0.5,0.5375,0.5625,0.575,0.575,0.4812
3NN+DTW,0.425,1.0,1.0,1.0,0.9,0.9125,0.8688,0.8875,0.8062
LSTM,0.375,1.0,0.9688,0.975,0.2562,0.5688,0.5125,0.4438,0.4125
C4.5,0.0,0.9875,0.7938,0.925,0.9688,0.9438,0.95,0.9812,0.95
