Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9946,0.9839,0.9795,0.9957,0.8881,0.8364,0.7826,0.7374,0.6889
Random Forest,0.0,1.0,0.9763,0.9742,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9365,0.9614,0.9957,0.9935,0.9882,0.9849,1.0
C5.0,0.5038,0.9946,0.9268,0.9399,0.929,0.9365,0.8202,0.8482,0.8471
C5.0-Boosting,0.7815,0.9989,0.9871,0.9871,1.0,1.0,0.8881,0.915,0.8471
CTree,1.1432,0.9516,0.9171,0.9185,0.8601,0.8202,0.733,0.7223,0.6233
RPart,0.6243,0.9494,0.9053,0.9056,0.8805,0.8224,0.7793,0.7664,0.7524
kNN,0.9408,0.9785,0.9634,0.9785,0.8751,0.8321,0.7729,0.7341,0.6889
3NN+DTW,0.6308,0.9968,0.9925,0.9957,0.9107,0.8719,0.8267,0.8170000000000001,0.7804
LSTM,0.7578,0.9892,0.9742,0.9657,0.8267,0.8321,0.7826,0.6964,0.7051
C4.5,0.7061,0.9935,0.9268,0.9399,0.9386,0.9159999999999999,0.8353,0.8407,0.7998
