Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.86,0.9982,0.9725,0.98,0.9068,0.8628,0.8182,0.7772,0.7345
Random Forest,0.0,1.0,0.973,0.981,1.0,1.0,1.0,1.0,1.0
CART,0.042,0.9975,0.7378,0.721,0.9995,0.9990000000000001,0.9938,0.9945,0.9912
C5.0,0.524,0.9708,0.846,0.846,0.9122,0.8812,0.8482,0.8348,0.8045
C5.0-Boosting,0.006,1.0,0.9482,0.943,0.9968,0.997,0.997,0.996,0.9988
CTree,1.0825,0.83,0.6878,0.715,0.728,0.6679999999999999,0.6172,0.5778,0.5025
RPart,0.3735,0.5893,0.5782,0.512,0.516,0.5035,0.5035,0.4328,0.45799999999999996
kNN,0.7795,0.8118,0.7543,0.7759999999999999,0.7355,0.6885,0.6579999999999999,0.6222,0.5738
3NN+DTW,0.4575,1.0,1.0,1.0,0.914,0.8859999999999999,0.8545,0.8478,0.8188
LSTM,1.014,0.9962,0.9792,0.9990000000000001,0.8322,0.7952,0.7495,0.6972,0.6278
C4.5,0.099,0.9852,0.7909999999999999,0.78,0.963,0.9545,0.95,0.948,0.9415
