Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.1111,0.9931,0.8963,1.0,0.8611,0.8333,0.7431,0.6944,0.6528
Random Forest,0.0139,1.0,0.9504,0.9444,1.0,1.0,0.9931,0.9931,1.0
CART,0.0139,1.0,0.8793,0.8333,1.0,1.0,0.9931,0.9931,1.0
C5.0,0.0278,0.9931,0.8749,0.8889,0.9722,0.9097,0.8958,0.9375,0.9514
C5.0-Boosting,0.0,1.0,0.9443,0.9444,1.0,0.9931,0.9931,0.9931,1.0
CTree,1.4306,0.9653,0.8613,0.9167,0.8056,0.7917,0.7847,0.5069,0.5903
RPart,0.5556,0.9514,0.7985,0.8889,0.875,0.8819,0.8264,0.7986,0.7778
kNN,0.6667,0.7986,0.7222,0.8056,0.7292,0.7431,0.6944,0.6736,0.5972
3NN+DTW,0.6111,1.0,0.986,1.0,0.8958,0.8889,0.8542,0.8194,0.7778
LSTM,1.3194,0.5347,0.6534,0.5556,0.7361,0.7083,0.5556,0.4792,0.5208
C4.5,0.1389,0.9931,0.8190000000000001,0.6944,0.9722,0.9375,0.9722,0.9236,0.9444
