Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.8386,0.8509,0.7956,0.7991,0.7661,0.7278,0.6898,0.6435,0.5985
Random Forest,0.0385,0.9978,0.8021,0.7991,0.9877,0.9796,0.9846,0.9927,0.9908
CART,0.0637,0.9953,0.6597,0.6719,0.9832,0.9648,0.9592,0.9805,0.9595
C5.0,0.0994,0.9564,0.6669,0.7042,0.9107,0.904,0.8892,0.8911,0.8922
C5.0-Boosting,0.0028,1.0,0.7649,0.7701,0.9994,0.9997,1.0,1.0,1.0
CTree,0.809,0.7275,0.653,0.6663,0.6563,0.6181,0.5807,0.5285,0.4989
RPart,0.5399,0.5918,0.5812,0.5725,0.5444,0.5148,0.4872,0.4626,0.4355
kNN,0.6505,0.7035,0.6949,0.7020000000000001,0.6399,0.6072,0.569,0.5438,0.5089
3NN+DTW,0.12,0.9045,0.7945,0.7891,0.8624,0.8434,0.8395,0.8336,0.8372
LSTM,0.8554,0.8878,0.7741,0.8516,0.6471,0.7362,0.6441,0.5413,0.5307
C4.5,0.124,0.9567,0.6681,0.7042,0.9109,0.9126,0.9028,0.897,0.8878
