Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7381,0.7705,0.7267,0.7321,0.7027,0.6614,0.6267,0.5921,0.5528
Random Forest,0.0151,0.9997,0.7479,0.7712,0.9958,0.9919,0.9925,0.9966,0.9972
CART,0.024,0.9989,0.6024,0.5759,0.9866,0.9819,0.9715,0.9866,0.9782
C5.0,0.172,0.9464,0.6262,0.6484,0.9129,0.8995,0.8925,0.8811,0.8791
C5.0-Boosting,0.0011,1.0,0.7083,0.7377,0.9997,1.0,0.9994,1.0,1.0
CTree,0.7108,0.6803,0.615,0.6328,0.6106,0.581,0.5391,0.5114,0.4676
RPart,0.5243,0.5804,0.5631,0.5435,0.5355,0.5162,0.4913,0.4657,0.4296
kNN,0.6371,0.6806,0.6589,0.6641,0.6159,0.5865,0.5564,0.5198,0.4899
3NN+DTW,0.0977,0.8855,0.7303,0.7522,0.8551,0.8389,0.8378,0.8308,0.8347
LSTM,0.4802,0.7261,0.7035,0.7221,0.5553,0.6407,0.5743,0.4966,0.5073
C4.5,0.1011,0.9464,0.6161,0.6406,0.9126,0.9151,0.8987,0.8975,0.8961
