Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7928,0.8079999999999999,0.6106,0.6243,0.7265,0.7044,0.6671,0.6091,0.5760000000000001
Random Forest,0.0,1.0,0.677,0.6575,1.0,1.0,1.0,1.0,1.0
CART,0.057999999999999996,0.9986,0.4313,0.45299999999999996,0.9890000000000001,0.9903,0.982,1.0,0.9986
C5.0,0.3343,0.9088,0.5041,0.5193,0.8798,0.8508,0.8439,0.8301,0.8066
C5.0-Boosting,0.0028,1.0,0.6105,0.6629999999999999,1.0,1.0,0.9959,0.9986,1.0
CTree,0.6768,0.5539,0.3936,0.3923,0.4489,0.4475,0.413,0.3494,0.3287
RPart,0.3646,0.4696,0.3964,0.3867,0.4213,0.4171,0.4254,0.4116,0.3329
kNN,0.5,0.5566,0.5041,0.4862,0.5097,0.4696,0.47100000000000003,0.424,0.4075
3NN+DTW,0.1878,0.9434,0.7569,0.7293,0.9061,0.8978,0.8688,0.8812,0.8674
LSTM,0.0773,0.8025,0.6105,0.674,0.6008,0.5345,0.5124,0.5981,0.5884
C4.5,0.2624,0.8978,0.4765,0.4365,0.8619,0.8577,0.826,0.8370000000000001,0.8066
