Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2233,0.7913,0.4858,0.5192,0.733,0.733,0.6408,0.7087,0.6893
Random Forest,0.2136,1.0,0.5253,0.6154,0.9854,0.9951,0.966,0.9466,0.9563
CART,0.2136,1.0,0.4122,0.5769,0.9854,0.9951,0.966,0.9466,0.9563
C5.0,0.2718,0.8883,0.3108,0.4038,0.9175,0.9078,0.8981,0.8786,0.8641
C5.0-Boosting,0.2136,1.0,0.4035,0.5192,0.9854,0.9951,0.966,0.9466,0.9563
CTree,0.3301,0.4223,0.4215,0.4231,0.3981,0.3835,0.3786,0.3544,0.3301
RPart,0.1262,0.6748,0.3789,0.4231,0.6845,0.6602,0.6553,0.665,0.7136
kNN,0.2718,0.4806,0.3302,0.3654,0.4854,0.4515,0.4078,0.4417,0.4223
3NN+DTW,0.2427,0.8641,0.4856,0.5962,0.8544,0.8592,0.8252,0.8155,0.8155
LSTM,0.6117,0.2427,0.4173,0.1731,0.4223,0.4126,0.6311,0.233,0.3592
C4.5,0.2524,0.932,0.4028,0.5192,0.9417,0.9223,0.9078,0.8932,0.8932
