Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.233,0.9175,0.6156,0.7308,0.9078,0.8592,0.8786,0.8592,0.8495
Random Forest,0.0777,1.0,0.5770000000000001,0.75,0.9806,0.966,0.9757,0.966,0.9612
CART,0.0777,1.0,0.6642,0.7115,0.9806,0.966,0.9757,0.966,0.9612
C5.0,0.1262,0.9757,0.5437,0.6346,0.9709,0.9369,0.9563,0.9515,0.932
C5.0-Boosting,0.1165,1.0,0.5196,0.6538,0.9806,0.966,0.9757,0.9466,0.9612
CTree,0.165,0.5777,0.5785,0.5769,0.5631,0.5534,0.5437,0.5388,0.5291
RPart,0.0874,0.8883,0.5533,0.6731,0.8544,0.835,0.8301,0.8592,0.8204
kNN,0.1748,0.6359,0.5585,0.5769,0.6505,0.5971,0.6311,0.5583,0.6262
3NN+DTW,0.4369,0.8641,0.6314,0.6731,0.835,0.767,0.8301,0.7427,0.7379
LSTM,0.0097,0.6019,0.5686,0.4615,0.5971,0.5534,0.5534,0.5874,0.5825
C4.5,0.068,0.9854,0.5879,0.6731,0.9612,0.9563,0.9466,0.9515,0.9466
