Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7553,0.8640000000000001,0.8405,0.8606,0.7848,0.7663,0.7015,0.6871,0.6356
Random Forest,0.0136,1.0,0.9261,0.9561,0.9973,0.9985,1.0,1.0,1.0
CART,0.0803,0.9992,0.8454,0.8348,0.9784,0.9883,0.9765,0.9973,0.9939
C5.0,1.175,0.9413,0.8303,0.8439,0.8402,0.7864,0.7462,0.6807,0.5992
C5.0-Boosting,1.3924,1.0,0.8958,0.9045,0.8822,0.8109999999999999,0.7564,0.6807,0.5992
CTree,0.0727,0.5364,0.5364,0.5364,0.5288,0.5258,0.522,0.5182,0.5144
RPart,0.4886,0.8602,0.8148,0.8015,0.7527,0.75,0.7117,0.6905,0.6602
kNN,0.6,0.8337,0.8182,0.8152,0.764,0.7398,0.6958,0.6792,0.6443
3NN+DTW,0.5098,0.9712,0.9311,0.953,0.8886,0.8515,0.8314,0.7996,0.7871
LSTM,0.9576,0.8617,0.8277,0.8182,0.7481,0.617,0.5367,0.5261,0.5542
C4.5,0.847,0.986,0.8447,0.8348,0.9561,0.9279999999999999,0.9049,0.8712,0.7727
